geometry,LST,NDVI
POINT (73.81748642077447 18.49653627884198),42.83224007000001,0.0760660469532013
POINT (73.81793557841654 18.49653627884198),41.27704097,0.2636718451976776
POINT (73.81838473605859 18.49653627884198),39.21768392000004,0.412817120552063
POINT (73.81883389370066 18.49653627884198),38.57680517000006,0.5046494603157043
POINT (73.81928305134271 18.49653627884198),36.82506992000003,0.6845386624336243
POINT (73.81973220898477 18.49653627884198),36.85754111000003,0.6210299134254456
POINT (73.82018136662683 18.49653627884198),37.07971241000001,0.38325580954551697
POINT (73.82063052426889 18.49653627884198),37.65906680000003,0.4999224841594696
POINT (73.82107968191094 18.49653627884198),38.04530306000001,0.47811159491539
POINT (73.79188443517707 18.49698543648404),46.388689880000015,0.3515585958957672
POINT (73.79233359281913 18.49698543648404),46.380144830000035,0.30074676871299744
POINT (73.79278275046119 18.49698543648404),45.94092926000002,0.3265796899795532
POINT (73.79323190810325 18.49698543648404),45.65894261,0.34142589569091797
POINT (73.7936810657453 18.49698543648404),44.72924117000002,0.31832510232925415
POINT (73.79413022338737 18.49698543648404),42.958706810000024,0.34900596737861633
POINT (73.79457938102942 18.49698543648404),40.81902629000004,0.34835630655288696
POINT (73.79502853867149 18.49698543648404),40.32683141000001,0.5183231234550476
POINT (73.79547769631354 18.49698543648404),39.655190480000044,0.5939429402351379
POINT (73.7959268539556 18.49698543648404),40.39177379000003,0.4397026598453522
POINT (73.79637601159766 18.49698543648404),40.220872790000044,0.34410643577575684
POINT (73.79682516923972 18.49698543648404),40.195237640000016,0.32001569867134094
POINT (73.79727432688179 18.49698543648404),39.92863208,0.43768876791000366
POINT (73.79772348452384 18.49698543648404),39.93888614000002,0.49400660395622253
POINT (73.79817264216591 18.49698543648404),39.952558220000014,0.3355065882205963
POINT (73.79862179980796 18.49698543648404),39.99015644000002,0.3363388180732727
POINT (73.79907095745003 18.49698543648404),39.80729237000003,0.44460898637771606
POINT (73.79952011509208 18.49698543648404),39.79362028999998,0.41753342747688293
POINT (73.79996927273415 18.49698543648404),39.706460780000015,0.49067434668540955
POINT (73.8004184303762 18.49698543648404),39.64151840000005,0.3813953399658203
POINT (73.80086758801826 18.49698543648404),39.65689949000003,0.3097223937511444
POINT (73.80131674566032 18.49698543648404),40.67717846000002,0.37008342146873474
POINT (73.80176590330238 18.49698543648404),41.106139970000015,0.17833910882472992
POINT (73.80221506094445 18.49698543648404),40.59856400000001,0.32759445905685425
POINT (73.8026642185865 18.49698543648404),40.76775599000001,0.1812758445739746
POINT (73.80311337622857 18.49698543648404),40.06193486000001,0.4156820476055145
POINT (73.80356253387062 18.49698543648404),39.57144899000002,0.40986156463623047
POINT (73.80401169151268 18.49698543648404),37.92054533000004,0.30299463868141174
POINT (73.80446084915474 18.49698543648404),36.49181297000001,0.7151057720184326
POINT (73.8049100067968 18.49698543648404),36.77550863000002,0.7313905358314514
POINT (73.80535916443885 18.49698543648404),39.32364254000001,0.5248899459838867
POINT (73.80580832208092 18.49698543648404),42.47505698000003,0.02556207776069641
POINT (73.80625747972297 18.49698543648404),47.61063203000003,-0.005175390280783176
POINT (73.80670663736504 18.49698543648404),47.80375016000005,0.01051669754087925
POINT (73.8071557950071 18.49698543648404),46.241715020000015,0.024649590253829956
POINT (73.80760495264916 18.49698543648404),43.12960780999998,0.13499052822589874
POINT (73.80805411029122 18.49698543648404),41.16424631000001,0.39169925451278687
POINT (73.80850326793328 18.49698543648404),37.58045234000002,0.7916722893714905
POINT (73.80895242557534 18.49698543648404),36.609734660000015,0.7093919515609741
POINT (73.8094015832174 18.49698543648404),36.864377150000024,0.320934534072876
POINT (73.80985074085946 18.49698543648404),38.44692041000002,0.32095348834991455
POINT (73.81029989850151 18.49698543648404),39.31167947000003,0.22781655192375183
POINT (73.81074905614358 18.49698543648404),39.12710639000002,0.2283000499010086
POINT (73.81119821378563 18.49698543648404),38.70327191000001,0.18352270126342773
POINT (73.8116473714277 18.49698543648404),38.55117002,0.514278769493103
POINT (73.81209652906976 18.49698543648404),38.62807547,0.24074602127075195
POINT (73.81254568671181 18.49698543648404),38.91348013999999,0.3280086815357208
POINT (73.81299484435388 18.49698543648404),39.16470461000003,0.3409018814563751
POINT (73.81344400199593 18.49698543648404),39.192048770000014,0.23973092436790466
POINT (73.813893159638 18.49698543648404),39.200593819999995,0.43903833627700806
POINT (73.81434231728005 18.49698543648404),39.171540650000026,0.5137495994567871
POINT (73.81479147492212 18.49698543648404),39.12197936000004,0.5321694016456604
POINT (73.81524063256417 18.49698543648404),40.40715488000001,0.28146761655807495
POINT (73.81568979020624 18.49698543648404),41.08563185000003,0.3497612774372101
POINT (73.81613894784829 18.49698543648404),42.492147080000024,0.2175493985414505
POINT (73.81658810549035 18.49698543648404),42.522909260000034,0.2893727719783783
POINT (73.81703726313242 18.49698543648404),41.79145298000003,0.08417066931724548
POINT (73.81748642077447 18.49698543648404),41.51801138000002,0.2994682490825653
POINT (73.81793557841654 18.49698543648404),40.75408391000002,0.43215763568878174
POINT (73.81838473605859 18.49698543648404),39.16470461000003,0.5011301636695862
POINT (73.81883389370066 18.49698543648404),38.61611240000002,0.44855329394340515
POINT (73.81928305134271 18.49698543648404),36.87634022,0.7199999690055847
POINT (73.81973220898477 18.49698543648404),36.811397839999984,0.7633171677589417
POINT (73.82018136662683 18.49698543648404),36.76696358000001,0.6860483884811401
POINT (73.82063052426889 18.49698543648404),37.25574044000001,0.38869109749794006
POINT (73.82107968191094 18.49698543648404),37.58557937000003,0.5553168654441833
POINT (73.79188443517707 18.497434594126098),45.27612437000005,0.18837390840053558
POINT (73.79233359281913 18.497434594126098),45.235108130000015,0.09083323925733566
POINT (73.79278275046119 18.497434594126098),45.11547743,0.09897153824567795
POINT (73.79323190810325 18.497434594126098),44.977047620000036,0.1547088921070099
POINT (73.7936810657453 18.497434594126098),44.44725452000003,0.21837010979652405
POINT (73.79413022338737 18.497434594126098),42.90230948000004,0.24242426455020905
POINT (73.79457938102942 18.497434594126098),40.94549303000002,0.16434825956821442
POINT (73.79502853867149 18.497434594126098),40.54387568000001,0.36522093415260315
POINT (73.79547769631354 18.497434594126098),39.91154197999998,0.3098462224006653
POINT (73.7959268539556 18.497434594126098),40.50456845000002,0.3728489577770233
POINT (73.79637601159766 18.497434594126098),40.20207368000001,0.4862385392189026
POINT (73.79682516923972 18.497434594126098),39.89445188000002,0.48169881105422974
POINT (73.79727432688179 18.497434594126098),39.70475177000003,0.3794932961463928
POINT (73.79772348452384 18.497434594126098),39.78336623000001,0.3721448481082916
POINT (73.79817264216591 18.497434594126098),39.81583742000004,0.3005369305610657
POINT (73.79862179980796 18.497434594126098),39.80729237000003,0.24809524416923523
POINT (73.79907095745003 18.497434594126098),39.477453440000005,0.5208791494369507
POINT (73.79952011509208 18.497434594126098),39.43814621000001,0.5157955288887024
POINT (73.79996927273415 18.497434594126098),39.392002940000026,0.5137007832527161
POINT (73.8004184303762 18.497434594126098),39.34415066,0.45696330070495605
POINT (73.80086758801826 18.497434594126098),39.37662184999999,0.5951536893844604
POINT (73.80131674566032 18.497434594126098),40.36613864,0.3718700110912323
POINT (73.80176590330238 18.497434594126098),40.605400040000035,0.5082401633262634
POINT (73.80221506094445 18.497434594126098),39.73893197000001,0.4251954257488251
POINT (73.8026642185865 18.497434594126098),39.93717713000001,0.40597018599510193
POINT (73.80311337622857 18.497434594126098),39.73038692,0.2830476462841034
POINT (73.80356253387062 18.497434594126098),39.48428948,0.2546711564064026
POINT (73.80401169151268 18.497434594126098),38.35805189000004,0.21940355002880096
POINT (73.80446084915474 18.497434594126098),36.61657070000001,0.7284141778945923
POINT (73.8049100067968 18.497434594126098),37.163453900000036,0.7078651785850525
POINT (73.80535916443885 18.497434594126098),39.99699248000002,0.6094318628311157
POINT (73.80580832208092 18.497434594126098),43.23385742000005,0.02339474856853485
POINT (73.80625747972297 18.497434594126098),49.097470730000026,-0.006087458226829767
POINT (73.80670663736504 18.497434594126098),48.665091200000006,-0.007025780621916056
POINT (73.8071557950071 18.497434594126098),47.01589654999998,-0.008243061602115631
POINT (73.80760495264916 18.497434594126098),44.14646876000003,0.1888258159160614
POINT (73.80805411029122 18.497434594126098),42.36568034000001,0.25081008672714233
POINT (73.80850326793328 18.497434594126098),38.829738650000024,0.6189879775047302
POINT (73.80895242557534 18.497434594126098),37.353154010000026,0.8225871324539185
POINT (73.8094015832174 18.497434594126098),36.67980406999999,0.4474334418773651
POINT (73.80985074085946 18.497434594126098),38.311908620000025,0.0942130833864212
POINT (73.81029989850151 18.497434594126098),39.33218759000002,0.27146050333976746
POINT (73.81074905614358 18.497434594126098),38.798976470000014,0.360815167427063
POINT (73.81119821378563 18.497434594126098),38.29994555000002,0.13690954446792603
POINT (73.8116473714277 18.497434594126098),38.34950684000003,0.25707370042800903
POINT (73.81209652906976 18.497434594126098),38.49819071000002,0.3279973268508911
POINT (73.81254568671181 18.497434594126098),38.80581251000001,0.23186059296131134
POINT (73.81299484435388 18.497434594126098),39.22451996000001,0.3891594707965851
POINT (73.81344400199593 18.497434594126098),39.28604432000003,0.2357676923274994
